state,raceEthnicity,sex_gender_standardized,ageCat,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
AL,Other or Unknown,Female,<18,60,-8.527528911007035,0.2601155645751442,1.979435020821922e-4,1.1888593554152246e-4,3.2957329929811705e-4,NA,NA
AL,Other or Unknown,Female,<18,90,-9.337694527945612,0.30222424983060586,8.80421810736659e-5,4.86896939795123e-5,1.5920054152465668e-4,NA,NA
AL,Other or Unknown,Female,18-34,30,-2.7681176085905967,0.07997633702107973,0.06278007024946138,0.053671757400650076,0.07343410037994334,1562,0.07106274007682459
AL,Other or Unknown,Female,18-34,60,-3.5815524404108765,0.11108906099856512,0.027832456468627316,0.022386817472636905,0.03460275825381937,1562,0.03905249679897567
AL,Other or Unknown,Female,18-34,90,-4.2033455523458345,0.12921016856216358,0.014945492160410096,0.011601825423400186,0.019252809602388985,1562,0.02112676056338028
AL,Other or Unknown,Female,35-49,30,-3.0067144021367787,0.0801459325653807,0.04945389774211033,0.04226493301547796,0.057865654276358675,1557,0.07514450867052024
AL,Other or Unknown,Female,35-49,60,-3.812666567742926,0.1112719752647284,0.022089198010759394,0.017760904178713656,0.027472287663334247,1557,0.03147077713551702
AL,Other or Unknown,Female,35-49,90,-4.426908503325329,0.12942847786348446,0.011951380272194802,0.009273599691804586,0.015402378273545275,1557,0.015414258188824663
AL,Other or Unknown,Female,50-64,30,-4.263908398274052,0.0814787086911105,0.014067214550571,0.011990942176772077,0.016503000539451092,1448,0.015883977900552487
AL,Other or Unknown,Female,50-64,60,-5.077394033082769,0.11276322507233204,0.006236139031322956,0.00499955738730632,0.0077785745827677385,1448,0.007596685082872928
AL,Other or Unknown,Female,50-64,90,-5.680419217358687,0.13125899460558746,0.0034121277203539857,0.0026381374572423005,0.004413195206355303,1448,0.004834254143646409
AL,Other or Unknown,Female,65+,30,-6.49490103429359,0.09034514095426835,0.0015111247554222148,0.0012658970765077632,0.001803857571698756,1389,0
AL,Other or Unknown,Female,65+,60,-7.2436373454939,0.12298611314135557,7.147073887814955e-4,5.616196605017375e-4,9.095241628872489e-4,1389,0
AL,Other or Unknown,Female,65+,90,-7.878255473662499,0.1453269968011115,3.7889347019870527e-4,2.8498011462541555e-4,5.037553653451083e-4,1389,0
AL,Other or Unknown,Male,<18,30,-7.249709754212517,0.18691216150600437,7.103805438836581e-4,4.924828801678498e-4,0.0010246864154068633,94,0
AL,Other or Unknown,Male,<18,60,-8.076279615498201,0.25993519501658485,3.108252765184575e-4,1.8674934598513645e-4,5.173370327651109e-4,94,0
AL,Other or Unknown,Male,<18,90,-8.79572363504093,0.30202139920919857,1.513790449529994e-4,8.374997380365265e-5,2.7361937216370535e-4,94,0
AL,Other or Unknown,Male,18-34,30,-2.4218515860314493,0.07982624710876811,0.08875712376871006,0.0759023103700574,0.10378902804520992,4252,0.06561618062088428
AL,Other or Unknown,Male,18-34,60,-3.1303031449020424,0.11090949429464342,0.0437045464339458,0.03516578242851487,0.05431664666866882,4252,0.03433678269049859
AL,Other or Unknown,Male,18-34,90,-3.6613746594411545,0.12898024617614748,0.02569716358687676,0.019957080293813722,0.0330882176495225,4252,0.017403574788334902
AL,Other or Unknown,Male,35-49,30,-2.6604483795776313,0.07998818987219813,0.06991686542082638,0.059771737254060736,0.08178393827664505,4252,0.06444026340545625
AL,Other or Unknown,Male,35-49,60,-3.361417272234092,0.11108632193834325,0.03468606449588998,0.027899612966813283,0.043123288901683314,4252,0.03621825023518344
AL,Other or Unknown,Male,35-49,90,-3.8849376104206486,0.12918932701766814,0.02054911077181513,0.015952431143727203,0.02647031977181557,4252,0.01881467544684854
AL,Other or Unknown,Male,50-64,30,-3.9176423757149044,0.081267865553533,0.019887927776836813,0.016959545195173318,0.023321950365110318,4201,0.027612473220661748
AL,Other or Unknown,Male,50-64,60,-4.626144737573935,0.11252828435103152,0.009792438844563038,0.007854284325304979,0.012208860101430522,4201,0.013568198048083789
AL,Other or Unknown,Male,50-64,90,-5.138448324454007,0.1309619245434414,0.005866786002639562,0.004538634968339141,0.007583596883395707,4201,0.008331349678647942
AL,Other or Unknown,Male,65+,30,-6.148635011734442,0.09009981042990582,0.0021363959360673375,0.0017905590397293992,0.0025490293781850414,3868,0.002068252326783868
AL,Other or Unknown,Male,65+,60,-6.792388049985066,0.12271483687095897,0.001122285497684839,8.823650394787858e-4,0.0014274417978501393,3868,5.17063081695967e-4
AL,Other or Unknown,Male,65+,90,-7.336284580757819,0.14501043871773425,6.514665011492255e-4,4.90296710725694e-4,8.6561584615047e-4,3868,5.17063081695967e-4
AL,White,Female,<18,30,-7.630881605959338,0.12078001138130713,4.852328855128759e-4,3.8295001810956567e-4,6.148346835063655e-4,NA,NA
AL,White,Female,<18,60,-8.615585809017917,0.17102579751392424,1.8125860146118807e-4,1.2963468060637543e-4,2.534405180001656e-4,NA,NA
AL,White,Female,<18,90,-9.49677917311037,0.215631562444201,7.509330333748272e-5,4.9210218180660114e-5,1.1459010779902115e-4,NA,NA
AL,White,Female,18-34,30,-2.6870551031260543,0.07883811238733687,0.06808113637299675,0.058333720067837304,0.0794573211591582,17190,0.08196625945317045
AL,White,Female,18-34,60,-3.4944746046738575,0.10985873652722272,0.03036469771667679,0.024482571751336005,0.037660049638161185,17190,0.03810354857475276
AL,White,Female,18-34,90,-4.133676198440467,0.12774241241426026,0.016023863511004016,0.012474774345182502,0.02058267305800548,17190,0.02065154159394997
AL,White,Female,35-49,30,-2.6489130754842396,0.07882436019953606,0.07072804734494256,0.06060329693130502,0.08254429931260696,17190,0.09488074461896451
AL,White,Female,35-49,60,-3.4465150415945223,0.10984463307720592,0.031856461598879594,0.02568606720160966,0.03950912911795598,17190,0.04246655031995346
AL,White,Female,35-49,90,-4.068048325534149,0.12772099885213345,0.01711075055591754,0.013321488333618804,0.02197785842351887,17190,0.024083769633507852
AL,White,Female,50-64,30,-3.871358310787141,0.07907269902265736,0.020830056510244315,0.01783953971250055,0.02432188617041137,17190,0.023676556137289122
AL,White,Female,50-64,60,-4.66939068863055,0.11013738910904734,0.009377981897515831,0.00755718883900291,0.011637468156973859,17190,0.010413030831879
AL,White,Female,50-64,90,-5.28365941533222,0.1280895663840959,0.0050738295290108405,0.003947351812029151,0.00652177645048281,17190,0.0058755090168702735
AL,White,Female,65+,30,-6.183391261481107,0.08098550919241711,0.002063418384598075,0.001760565978792885,0.002418367434781727,15952,8.149448345035105e-4
AL,White,Female,65+,60,-6.969622686549643,0.11249946477394057,9.400075164115977e-4,7.54000455544106e-4,0.0011719013223575063,15952,4.3881644934804415e-4
AL,White,Female,65+,90,-7.568343013094008,0.13117551702157715,5.165476525825027e-4,3.9944187324306163e-4,6.6798574526545e-4,15952,1.8806419257773319e-4
AL,White,Male,<18,30,-7.284615583400191,0.12061513234272205,6.860119000342176e-4,5.415815521095507e-4,8.689593010608347e-4,1258,0
AL,White,Male,<18,60,-8.164336513509083,0.17084555787544742,2.8462543265061905e-4,2.036337229072933e-4,3.978301616988735e-4,1258,0
AL,White,Male,<18,90,-8.95480828020569,0.21542382037052546,1.2911484475927116e-4,8.464612649118312e-5,1.9694513887705343e-4,1258,0
AL,White,Male,18-34,30,-2.340789080566907,0.07878992993643784,0.09625165794433535,0.08247875733983798,0.11232445730069886,42492,0.09808905205685776
AL,White,Male,18-34,60,-3.0432253091650234,0.10977842424333835,0.04768085572350056,0.03845036589459241,0.05912723974481116,42492,0.04897392450343594
AL,White,Male,18-34,90,-3.591705305535787,0.12761499469185886,0.027551306943695654,0.021454387715638783,0.035380851896902134,42492,0.028852489880448084
AL,White,Male,35-49,30,-2.302647052925092,0.07878028435464018,0.09999380419884303,0.0856870500310633,0.1166892882242043,42492,0.11242116163042455
AL,White,Male,35-49,60,-2.995265746085688,0.10976776127713993,0.050023331815458365,0.040340207412822376,0.06203076003828545,42492,0.05765791207756754
AL,White,Male,35-49,90,-3.526077432629469,0.12760159387922565,0.02942009211944148,0.02291022501199244,0.03777971712907017,42492,0.03391226583827544
AL,White,Male,50-64,30,-3.525092288227994,0.07895002470394036,0.029449089439412365,0.025227225435458123,0.03437749708263785,42492,0.03727760519627224
AL,White,Male,50-64,60,-4.218141393121716,0.10998284909765964,0.014725988910058212,0.01187044221428929,0.018268464263118525,42492,0.017791584298220843
AL,White,Male,50-64,90,-4.741688522427539,0.12788309852252236,0.008723903235806182,0.006789793231681362,0.011208955128794584,42492,0.01082556716558411
AL,White,Male,65+,30,-5.83712523892196,0.0807899421642866,0.002917216884604783,0.002490004862049675,0.0034177259978593008,42492,0.002729925633060341
AL,White,Male,65+,60,-6.518373391040809,0.11228044017757097,0.0014760681363348922,0.0011844946986734732,0.0018394148538977805,42492,0.0014590981831874236
AL,White,Male,65+,90,-7.026372120189328,0.13090233369933627,8.881480373052854e-4,6.871650963230064e-4,0.0011479147302301963,42492,9.88421349901158e-4
AR,Black,Female,<18,30,-7.134929475568047,0.10777568613353791,7.967819735009838e-4,6.45060827896472e-4,9.841886002695138e-4,NA,NA
AR,Black,Female,<18,60,-7.781934060267079,0.14153060552467953,4.172044951750618e-4,3.1613887919382537e-4,5.505795150477581e-4,NA,NA
AR,Black,Female,<18,90,-8.322484965112064,0.1687414611111845,2.4299128848749064e-4,1.7456521667976065e-4,3.3823901120650106e-4,NA,NA
AR,Black,Female,18-34,30,-2.5197088453246748,0.07310933935750848,0.08048303635086586,0.06973865544917468,0.09288276492476388,5672,0.0736953455571227
AR,Black,Female,18-34,60,-3.1715330032581974,0.10143840437166234,0.041939255582098586,0.034377650432532596,0.05116408878007809,5672,0.03896332863187588
AR,Black,Female,18-34,90,-3.6658094530480962,0.11797790717663974,0.025583454295069055,0.02030187765105955,0.03223904433458786,5672,0.02150916784203103
AR,Black,Female,35-49,30,-2.961022778825729,0.07323696387790972,0.05176594497550794,0.04484403983616699,0.05975628130287475,5679,0.049304455009684806
AR,Black,Female,35-49,60,-3.604931156605687,0.10157234627888166,0.027189316553464682,0.02228126034362801,0.03317850620851085,5679,0.02500440218348301
AR,Black,Female,35-49,90,-4.1114220651859625,0.11813543547402001,0.016384458183968355,0.012997954708508688,0.020653285536260196,5679,0.01408698714562423
AR,Black,Female,50-64,30,-3.991097753946504,0.07374231048227287,0.0184794171282246,0.015992586199990454,0.021352947742693695,5553,0.009364307581487484
AR,Black,Female,50-64,60,-4.6647165236227295,0.10214848971986383,0.009421918736368887,0.007712415203085108,0.011510344079923037,5553,0.004862236628849271
AR,Black,Female,50-64,90,-5.179625022920195,0.1188377338600421,0.0056301171835347495,0.0044602846090838815,0.007106770593915957,5553,0.002881325409688457
AR,Black,Female,65+,30,-6.138114178207147,0.07775147418741615,0.002158991254431882,0.0018538248877345343,0.002514392415137776,4659,6.43915003219575e-4
AR,Black,Female,65+,60,-6.846478306224131,0.10703414514332117,0.0010631933490042689,8.61994751711313e-4,0.0013113538047914751,4659,4.2927666881305e-4
AR,Black,Female,65+,90,-7.36419357870933,0.12494319084217881,6.335360975376911e-4,4.959290266677736e-4,8.09325458483732e-4,4659,4.2927666881305e-4
AR,Black,Male,<18,30,-6.788663453008899,0.10753483288375264,0.0011264733530512517,9.124038457827303e-4,0.0013907681571047447,NA,NA
AR,Black,Male,<18,60,-7.330684764758245,0.14126848721723861,6.551248271018561e-4,4.966793496283343e-4,8.641159319516687e-4,NA,NA
AR,Black,Male,<18,90,-7.780514072207384,0.16841346373177876,4.1779734139432137e-4,3.0033909780367e-4,5.811917920532234e-4,NA,NA
AR,Black,Male,18-34,30,-2.1734428227655274,0.07294010453121937,0.1137851995114115,0.09862773186559588,0.1312721217749916,22062,0.10583809264799202
AR,Black,Male,18-34,60,-2.7202837077493633,0.10122805395642741,0.06585606789896645,0.05400454616455255,0.08030845525297661,22062,0.0664944248028284
AR,Black,Male,18-34,90,-3.123838560143416,0.11769961083207031,0.04398799337496926,0.034925936542862586,0.05540133644753363,22062,0.043921675278759856
AR,Black,Male,35-49,30,-2.6147567562665817,0.07305161923181054,0.0731855884668242,0.06342258193774993,0.08445147131494049,22056,0.078436706565107
AR,Black,Male,35-49,60,-3.153681861096853,0.10135193065915633,0.042694641385951464,0.0350027728987479,0.052076799982329544,22056,0.04833151976786362
AR,Black,Male,35-49,90,-3.5694511722812825,0.11784664428280943,0.028171310634458466,0.022361236093193147,0.03549100503906109,22056,0.033097569822270585
AR,Black,Male,50-64,30,-3.6448317313873564,0.07350202418242373,0.026125805637140447,0.02262062786568535,0.030174127979226174,22033,0.029818908001633913
AR,Black,Male,50-64,60,-4.213467228113895,0.10187774135398688,0.01479498172842402,0.01211702328573087,0.018064790269254446,22033,0.01629374120637226
AR,Black,Male,50-64,90,-4.637654130015515,0.11849970980970514,0.009680379924979896,0.007674061344178251,0.012211233568395244,22033,0.01116507057595425
AR,Black,Male,65+,30,-5.791848155647999,0.0774602719624514,0.0030523357687198068,0.002622394364593353,0.003552766041140824,21741,0.0024837863943700843
AR,Black,Male,65+,60,-6.395229010715297,0.10671751752647825,0.001669503485694704,0.001354407077515104,0.002057905584678757,21741,0.0015178694632261625
AR,Black,Male,65+,90,-6.8222226858046495,0.12455596588365306,0.0010892970644180407,8.533439285244993e-4,0.001390492221115856,21741,0.001057909019824295
AR,Hispanic,Female,<18,30,-7.583599844914669,0.7155905649933446,5.087265859777662e-4,1.251332260317565e-4,0.002068217590865229,NA,NA
AR,Hispanic,Female,<18,60,-8.300986711663022,1.0091191362278458,2.4827173359438684e-4,3.4352908349244935e-5,0.0017942834148223436,NA,NA
AR,Hispanic,Female,<18,90,-8.390710558211206,1.0108546165492023,2.269659485298941e-4,3.1298224093530974e-5,0.0016458934423286295,NA,NA
AR,Hispanic,Female,18-34,30,-2.7293498383888326,0.07567475715221728,0.0652617065339921,0.056265729752452705,0.07569599396412784,171,0.07017543859649122
AR,Hispanic,Female,18-34,60,-3.4054881248043802,0.10426114346217774,0.0331906149648157,0.027056278024790905,0.040715759970135844,171,0.04093567251461988
AR,Hispanic,Female,18-34,90,-3.907644572363809,0.12136362544987545,0.020087760648146,0.01583531182134169,0.02548217126443763,171,0.029239766081871343
AR,Hispanic,Female,35-49,30,-3.1886722213374488,0.07660931607267805,0.0412265743797918,0.035478665970715445,0.047905703007418664,171,0.04678362573099415
AR,Hispanic,Female,35-49,60,-3.8364759524053813,0.10523615885781265,0.02156947943969123,0.01754940849480395,0.026510434436409193,171,0.029239766081871343
AR,Hispanic,Female,35-49,90,-4.354213256143132,0.12259509237068415,0.012852547270187203,0.010107321448327412,0.016343397425015335,171,0.011695906432748537
AR,Hispanic,Female,50-64,30,-4.648671516010111,0.0829186142727933,0.009574312806854342,0.008138177538671878,0.01126388129134559,110,0
AR,Hispanic,Female,50-64,60,-5.351899950628217,0.11237325682187735,0.004739138311479497,0.003802306256177258,0.005906791936826489,110,0
AR,Hispanic,Female,50-64,90,-5.886711338742248,0.13221937614465737,0.0027760913252268217,0.0021423400757317585,0.003597320114252749,110,0
AR,Hispanic,Female,65+,30,-6.995898776642032,0.12782923669530813,9.156294766085224e-4,7.127074881789441e-4,0.0011763273886409623,NA,NA
AR,Hispanic,Female,65+,60,-7.702516615734849,0.17036836404130382,4.5168902362862284e-4,3.2346084937855525e-4,6.307501339298248e-4,NA,NA
AR,Hispanic,Female,65+,90,-8.417851150422285,0.2305835483104162,2.208888000168443e-4,1.4057258258735333e-4,3.470937296222871e-4,NA,NA
AR,Hispanic,Male,<18,30,-7.237333822355522,0.7155524801900122,7.192267924620442e-4,1.769238909360512e-4,0.0029237836465071465,NA,NA
AR,Hispanic,Male,<18,60,-7.849737416154188,1.0090821450185434,3.898543242614204e-4,5.394734510097243e-5,0.0028173099873748746,NA,NA
AR,Hispanic,Male,<18,90,-7.848739665306526,1.010803714612769,3.9024349585977785e-4,5.381929341685566e-5,0.0028296541331619338,NA,NA
AR,Hispanic,Male,18-34,30,-2.383083815829685,0.07542887800871624,0.09226560819664689,0.07958563238327385,0.1069658203493308,1183,0.10059171597633136
AR,Hispanic,Male,18-34,60,-2.954238829295546,0.10398837494300099,0.05211831641724098,0.0425084542631921,0.06390067465990408,1183,0.06424344885883347
AR,Hispanic,Male,18-34,90,-3.365673679459129,0.12102523064765015,0.03453874023880048,0.027245176771525215,0.0437847985824081,1183,0.04142011834319527
AR,Hispanic,Male,35-49,30,-2.8424061987783014,0.07635374745523038,0.058285251199101766,0.05018411212686252,0.06769414389069081,1169,0.04961505560307956
AR,Hispanic,Male,35-49,60,-3.3852266568965472,0.10495573320296805,0.03386996461453614,0.02757250732983612,0.041605737529302474,1169,0.02566295979469632
AR,Hispanic,Male,35-49,90,-3.8122423632384526,0.12224115428018156,0.022098570335806474,0.017390510013742446,0.02808122421370513,1169,0.018819503849443968
AR,Hispanic,Male,50-64,30,-4.302405493450964,0.0826403914100941,0.013535959157446268,0.011511857541194156,0.015915953585805696,1066,0.010318949343339587
AR,Hispanic,Male,50-64,60,-4.900650655119383,0.11206407529598143,0.00744173948944875,0.005974276916419677,0.009269655123721535,1066,0.009380863039399626
AR,Hispanic,Male,50-64,90,-5.344740445837568,0.13184738708958785,0.0047731899458910605,0.003686209532001644,0.006180696474729138,1066,0.006566604127579738
AR,Hispanic,Male,65+,30,-6.649632754082885,0.12762650861493297,0.0012944974170735193,0.0010080110829122815,0.0016624058913803006,604,0.0016556291390728477
AR,Hispanic,Male,65+,60,-7.251267320226015,0.1701425172422936,7.092749405404675e-4,5.081466218913133e-4,9.9001138570254e-4,604,0.0016556291390728477
AR,Hispanic,Male,65+,90,-7.875880257517604,0.23035445114262382,3.797944937255253e-4,2.418079636564709e-4,5.965223613112712e-4,604,0.0016556291390728477
AR,Other or Unknown,Female,<18,30,-7.576951917198626,0.18462712347154847,5.121198300722978e-4,3.5662903653943854e-4,7.354048422366077e-4,NA,NA
AR,Other or Unknown,Female,<18,60,-8.401356043402378,0.2565851290494461,2.2456260098311972e-4,1.3581000713551767e-4,3.713155077739156e-4,NA,NA
AR,Other or Unknown,Female,<18,90,-9.132721048600919,0.29811831189450233,1.0807111788707944e-4,6.024914340457541e-5,1.9385116304369027e-4,NA,NA
AR,Other or Unknown,Female,18-34,30,-2.7490937490175584,0.07402726505354713,0.06398582215334706,0.055344138603178696,0.07397685716992276,756,0.10185185185185185
AR,Other or Unknown,Female,18-34,60,-3.4553795728062195,0.10248575210343844,0.03157531694952614,0.025829243605792446,0.038599683973689645,756,0.046296296296296294
