STATE,sex,race,Total,se
TN,Male,Black (NH),92456.37326558624,28255.16251962006
TN,Male,Hispanic,6960.784883022447,2391.495675039305
TN,Male,"Multiracial, other, or missing",1295.4014490580605,455.27854975052156
TX,Male,White (NH),276740.8763511615,44703.61266969277
TX,Male,Black (NH),180132.87823386275,45510.20544245406
TX,Male,Hispanic,223931.94450157316,41903.313645492766
TX,Male,"Multiracial, other, or missing",95081.17246717129,54031.311123340085
UT,Male,White (NH),45899.38928896411,15027.76350623421
UT,Male,Black (NH),4206.690956512962,2177.4818356070405
UT,Male,Hispanic,15182.34900990092,5967.4353264597285
UT,Male,"Multiracial, other, or missing",6986.570744622012,2109.8707137160827
VA,Male,White (NH),107493.56631996327,16814.05278176473
VA,Male,Black (NH),101013.38271548165,14778.301434586092
VA,Male,Hispanic,7961.326910876027,2510.257606973797
VA,Male,"Multiracial, other, or missing",2024.7897908703403,568.3542972655885
WA,Male,White (NH),135002.49841950752,27916.8205948504
WA,Male,Black (NH),25675.481255833543,8889.141189442647
WA,Male,Hispanic,21895.643766734782,6113.171108628434
WA,Male,"Multiracial, other, or missing",19753.103798194967,5796.878646702771
WI,Male,White (NH),88097.71177175874,9147.691768202045
WI,Male,Black (NH),49879.7292390825,20917.458140783012
WI,Male,Hispanic,9563.516879503317,3836.2590902585575
WI,Male,"Multiracial, other, or missing",15618.557554220828,3321.675534946957
WV,Male,White (NH),28465.861904193847,3689.314496333497
WV,Male,Black (NH),4559.524728119611,1175.2080710423331
WV,Male,Hispanic,347.3522246056257,125.03307102356551
WV,Male,"Multiracial, other, or missing",259.26114308091724,67.60929319121797
WY,Male,White (NH),16319.032076180574,4580.598650721353
WY,Male,Black (NH),1152.0820851150409,441.08926139896806
WY,Male,Hispanic,1739.5988769343767,454.4716795890911
WY,Male,"Multiracial, other, or missing",2432.192163225205,1142.5651952186693
AK,Female,White (NH),438.4111111110982,151.81990711869608
AK,Female,Black (NH),0,NA
AK,Female,Hispanic,16.43333333333285,16.43333333333285
AK,Female,"Multiracial, other, or missing",621.8222222222039,299.68641637157924
AL,Female,White (NH),41728.080736450494,5310.790235128517
AL,Female,Black (NH),31637.262769754143,6312.270094669174
AL,Female,Hispanic,2156.5458491580603,480.00951200820435
AL,Female,"Multiracial, other, or missing",264.31531174794344,79.45874190794623
AR,Female,White (NH),28527.697434412075,5229.681330571643
AR,Female,Black (NH),11714.28659919959,2906.142088226082
AR,Female,Hispanic,3046.545689670541,1494.9453219179456
AR,Female,"Multiracial, other, or missing",2732.6299861404864,1421.4330684559734
AZ,Female,White (NH),25987.629808266764,14050.668811956903
AZ,Female,Black (NH),6807.081719311101,4907.518353621993
AZ,Female,Hispanic,10107.369393812955,3895.0895302942035
AZ,Female,"Multiracial, other, or missing",4362.138433447802,1787.7475399703442
CA,Female,White (NH),64891.43347862018,9380.11079036997
CA,Female,Black (NH),37342.32767618074,8166.413531254251
CA,Female,Hispanic,81299.35012896574,16061.020737145911
CA,Female,"Multiracial, other, or missing",14444.502022830951,2553.52087094631
CO,Female,White (NH),25227.585913882343,5824.798378775996
CO,Female,Black (NH),6440.057719490599,2890.621944116252
CO,Female,Hispanic,10531.921576148305,3396.9538884101307
CO,Female,"Multiracial, other, or missing",9679.43479047875,5765.348171486938
DC,Female,White (NH),64.53494771601541,64.53494771601541
DC,Female,Black (NH),1257.6444689047883,1257.6444689047883
DC,Female,Hispanic,80.27517886626306,80.27517886626306
DC,Female,"Multiracial, other, or missing",27.545404512933406,27.545404512933406
FL,Female,White (NH),77189.01019771831,11131.423260795937
FL,Female,Black (NH),60941.307472725006,12155.78015433903
FL,Female,Hispanic,13811.131161749037,4794.136645582116
FL,Female,"Multiracial, other, or missing",4753.928154890535,3081.234335853789
GA,Female,White (NH),55767.05298487464,5893.422026175655
GA,Female,Black (NH),64729.76818767917,10552.558864370765
GA,Female,Hispanic,5007.462223175074,1305.4383127953474
GA,Female,"Multiracial, other, or missing",1031.5956569841244,307.3785293763268
IA,Female,White (NH),21647.989189054235,3287.1377151796864
IA,Female,Black (NH),7578.828836131312,2205.527632287216
IA,Female,Hispanic,2552.074661087016,665.4659340969146
IA,Female,"Multiracial, other, or missing",1441.6780264017707,494.1155747095667
ID,Female,White (NH),13744.735382452436,4031.5350055061504
ID,Female,Black (NH),595.5761657681277,243.11580747074876
ID,Female,Hispanic,3427.7007450632464,1251.1233769451806
ID,Female,"Multiracial, other, or missing",1110.85112135036,347.7006941047782
IL,Female,White (NH),26208.752277785617,2701.0375968157696
IL,Female,Black (NH),22965.665894020392,6378.28915002418
IL,Female,Hispanic,5175.0013390300865,1505.5400173029104
IL,Female,"Multiracial, other, or missing",1677.79931170002,948.4775254360891
IN,Female,White (NH),43672.869742614144,4305.744503181867
IN,Female,Black (NH),9733.58241639532,1967.1298566301882
IN,Female,Hispanic,2073.4337821367544,435.7047597396496
IN,Female,"Multiracial, other, or missing",2359.223510281196,1536.521024291738
KS,Female,White (NH),25329.947409204302,5992.23767834471
KS,Female,Black (NH),8481.969399018284,2996.803184789811
KS,Female,Hispanic,3307.3934772695093,1068.230877952011
KS,Female,"Multiracial, other, or missing",3250.389983187136,1398.456015576368
KY,Female,White (NH),65083.50860865998,5920.518090749408
KY,Female,Black (NH),14420.146014062739,4073.86267297109
KY,Female,Hispanic,1567.8394915818217,559.9523905933789
KY,Female,"Multiracial, other, or missing",649.9532738626773,169.16172263648028
LA,Female,White (NH),20132.5554343025,2946.0124810578145
LA,Female,Black (NH),28687.25969454364,5697.524665873922
LA,Female,Hispanic,1346.8394329498904,561.3057084966825
LA,Female,"Multiracial, other, or missing",1586.453469378307,1074.7678830333014
MA,Female,White (NH),2861.9019434409665,1187.5856631907418
MA,Female,Black (NH),1663.1691356323872,602.2074169369055
MA,Female,Hispanic,2540.343965562446,1211.266982945479
MA,Female,"Multiracial, other, or missing",229.58495536419983,94.96473510483463
MD,Female,White (NH),6041.7591278389355,931.1911335596371
MD,Female,Black (NH),8361.960190873488,2247.1950846804148
MD,Female,Hispanic,876.3818035664176,359.68679367399847
MD,Female,"Multiracial, other, or missing",183.48480243469538,61.67886428260678
ME,Female,White (NH),6206.7928938733785,1364.1763171058485
ME,Female,Black (NH),791.4383585438364,312.7419749889372
ME,Female,Hispanic,237.30559018780403,85.95881422517787
ME,Female,"Multiracial, other, or missing",256.8979400036804,80.47511557575363
MI,Female,White (NH),36359.01905021037,3920.841055741269
MI,Female,Black (NH),20669.782280032454,5015.065951025867
MI,Female,Hispanic,3127.697144222439,929.6096455048032
MI,Female,"Multiracial, other, or missing",3143.460379271408,877.1401433026296
MN,Female,White (NH),23808.512826783684,3497.193849797671
MN,Female,Black (NH),13743.753879805374,5130.833749155766
MN,Female,Hispanic,2705.5910257454334,685.821670233505
MN,Female,"Multiracial, other, or missing",8944.177963480304,2475.6583804508277
MO,Female,White (NH),38709.9624827949,4197.211867480235
MO,Female,Black (NH),14547.4504994867,4505.174385062562
MO,Female,Hispanic,1689.5726336621933,376.09458999770095
MO,Female,"Multiracial, other, or missing",3638.869976148247,1869.0914509158295
MS,Female,White (NH),12761.179495181379,2144.3579378957784
MS,Female,Black (NH),13415.892002320885,2162.8599046669683
MS,Female,Hispanic,817.415762817007,253.71083165880742
MS,Female,"Multiracial, other, or missing",2132.3564545851523,1792.3091755077287
MT,Female,White (NH),7809.1654585504075,1850.5547176088076
MT,Female,Black (NH),305.254712633882,95.07843827279312
MT,Female,Hispanic,280.55694014285706,109.6144434011674
MT,Female,"Multiracial, other, or missing",2527.5691252318825,642.9754701744646
NC,Female,White (NH),46532.95069214649,4520.787330952777
NC,Female,Black (NH),38503.69010165446,6496.166311239267
NC,Female,Hispanic,4179.101195170336,727.7411733431178
NC,Female,"Multiracial, other, or missing",2418.116028803405,761.8160303605697
ND,Female,White (NH),6483.993344009172,2081.211045728564
ND,Female,Black (NH),1341.3509460360444,478.6087465622575
ND,Female,Hispanic,400.4736227185908,161.8169305667335
ND,Female,"Multiracial, other, or missing",3539.1820872361927,1145.459934250684
NE,Female,White (NH),9006.610175801712,2622.7349359515197
NE,Female,Black (NH),3831.937636750207,2439.048346205083
NE,Female,Hispanic,2241.708871657967,939.0588015567688
NE,Female,"Multiracial, other, or missing",1039.7284221730652,391.75006330147943
NH,Female,White (NH),4192.146030508018,981.3336930944254
NH,Female,Black (NH),601.6592246033887,274.33152557040825
NH,Female,Hispanic,447.0109563530269,219.75675306151214
NH,Female,"Multiracial, other, or missing",183.18378853556575,73.70137494527287
NJ,Female,White (NH),5251.161283187783,1176.191648743219
NJ,Female,Black (NH),7484.392762572266,1756.5112375335389
NJ,Female,Hispanic,3775.5908646554567,1106.5631613166186
NJ,Female,"Multiracial, other, or missing",355.64930358848596,100.38407291317984
NM,Female,White (NH),9546.410891493226,2763.937959259446
NM,Female,Black (NH),1529.2447284980249,576.4008547801251
NM,Female,Hispanic,14192.292940625488,3621.434854772214
NM,Female,"Multiracial, other, or missing",4098.08634547047,1883.6053155134232
NV,Female,White (NH),17321.117051377456,8156.553524796679
NV,Female,Black (NH),12793.834115112193,8573.38921962336
NV,Female,Hispanic,6396.554621545701,4163.526019517379
NV,Female,"Multiracial, other, or missing",5790.009836964648,3851.724554678301
NY,Female,White (NH),14589.952574880663,1862.164710566092
NY,Female,Black (NH),11752.508864390727,3047.889316950404
NY,Female,Hispanic,2903.3350252352784,1338.414802576091
NY,Female,"Multiracial, other, or missing",803.510422483413,318.3396882776007
OH,Female,White (NH),64417.06814556843,6946.4751823279175
OH,Female,Black (NH),30367.52555007387,7441.263232017753
OH,Female,Hispanic,2504.7659661774874,640.727191165505
OH,Female,"Multiracial, other, or missing",1809.8148215029807,967.0702427215884
OK,Female,White (NH),29042.715085864067,5000.914682846751
OK,Female,Black (NH),10790.4928467761,4026.743729079664
OK,Female,Hispanic,4113.530390601679,1319.7441900237977
OK,Female,"Multiracial, other, or missing",10352.887463683128,1969.5223168951684
OR,Female,White (NH),30322.059960698025,6623.804551185951
OR,Female,Black (NH),3781.7600335935435,2092.308030593368
OR,Female,Hispanic,4145.911369211696,1451.8154851272366
OR,Female,"Multiracial, other, or missing",6130.268636496735,3634.284506177137
PA,Female,White (NH),23735.450043291716,2400.4661819819053
PA,Female,Black (NH),13176.063869332584,3113.559991593206
PA,Female,Hispanic,3746.425009648325,1016.2235417204207
PA,Female,"Multiracial, other, or missing",829.0610777273757,200.7923311652929
SC,Female,White (NH),18718.26924930145,4244.82620070911
SC,Female,Black (NH),18456.916814578155,4135.351285459523
SC,Female,Hispanic,1130.905731251874,369.18027809717546
SC,Female,"Multiracial, other, or missing",1057.8115791014075,878.0222227085875
SD,Female,White (NH),8509.17565259305,3063.2684944431758
SD,Female,Black (NH),1441.797148504798,863.0592908448618
SD,Female,Hispanic,695.3284941679381,243.41414447102656
SD,Female,"Multiracial, other, or missing",7415.244704734213,3215.136516577995
TN,Female,White (NH),74574.47613842029,7751.383898428662
TN,Female,Black (NH),33111.62747884165,9634.618756656955
TN,Female,Hispanic,2653.9834381265964,862.9880989159763
TN,Female,"Multiracial, other, or missing",497.1283557191744,174.84955657942686
TX,Female,White (NH),84132.1492649367,11729.274038686908
TX,Female,Black (NH),51487.23783960521,11093.126928226735
TX,Female,Hispanic,57236.38170440947,10821.470226369605
TX,Female,"Multiracial, other, or missing",24120.225243265988,11169.583074646565
UT,Female,White (NH),15736.630556924329,5427.133157581242
UT,Female,Black (NH),1489.928535055194,760.3621444637394
UT,Female,Hispanic,5243.820295549842,2104.1322425925573
UT,Female,"Multiracial, other, or missing",2217.6206124706355,728.7192257867913
VA,Female,White (NH),34615.790340185384,6736.582723821659
VA,Female,Black (NH),28448.2152305409,4105.606749550947
VA,Female,Hispanic,2130.461490154492,661.9631127305448
VA,Female,"Multiracial, other, or missing",529.8279548043306,131.11529858437302
WA,Female,White (NH),42945.07694609077,9325.51938930824
WA,Female,Black (NH),8283.746628814863,2936.4224919186104
WA,Female,Hispanic,6758.75017041794,1962.9742125383498
WA,Female,"Multiracial, other, or missing",6442.400860636338,1975.3762743856091
WI,Female,White (NH),26277.289887310682,3092.6771397399616
WI,Female,Black (NH),10875.52578501808,2934.7328846389637
WI,Female,Hispanic,2287.118606554666,698.0428595071319
WI,Female,"Multiracial, other, or missing",5220.706514771161,1109.825894581885
WV,Female,White (NH),10429.425037530518,1348.0372465890734
WV,Female,Black (NH),1659.9336595345417,413.2797134827303
WV,Female,Hispanic,126.33186765073778,46.03722622437687
WV,Female,"Multiracial, other, or missing",94.30943528420335,23.08116911574745
WY,Female,White (NH),5088.664594459522,1448.2712008525104
WY,Female,Black (NH),348.6462073083479,126.29130554650611
WY,Female,Hispanic,484.23701693912477,120.97084742685078
WY,Female,"Multiracial, other, or missing",857.3368329571556,426.4489639720491
