"Gender","Age.Group","Race","p","se","health_outcome"
"Women","35-49","Hispanic",0.0741442507900545,0.0197352847994634,"MDE_any"
"Men","50-64","Hispanic",0.157838114505347,0.0929831190035203,"MDE_any"
"Women","50-64","Hispanic",0.0546014405883465,0.0199577586883305,"MDE_any"
"Men","65 and over","Hispanic",0.0762934294333688,0.0699949811749232,"MDE_any"
"Women","65 and over","Hispanic",0.0584313139760777,0.0405899980581521,"MDE_any"
"Men","Under 18","NH White",0,0,"MDE_any"
"Women","Under 18","NH White",0,0,"MDE_any"
"Men","19-34","NH White",0.210069332186922,0.0212100894303974,"MDE_any"
"Women","19-34","NH White",0.323638546249452,0.020609972832568,"MDE_any"
"Men","35-49","NH White",0.197632070072671,0.0360458910103364,"MDE_any"
"Women","35-49","NH White",0.287288510711267,0.02719708453967,"MDE_any"
"Men","50-64","NH White",0.118338242016822,0.032398570389369,"MDE_any"
"Women","50-64","NH White",0.230224934904728,0.0384038761805881,"MDE_any"
"Men","65 and over","NH White",0.0191268513805011,0.0118015796233194,"MDE_any"
"Women","65 and over","NH White",0.103343136969966,0.0429897564340544,"MDE_any"
"Men","Under 18","Other",0,0,"MDE_any"
"Women","Under 18","Other",0,0,"MDE_any"
"Men","19-34","Other",0.180584992907285,0.0449410581582625,"MDE_any"
"Women","19-34","Other",0.212235197746652,0.0374646542552956,"MDE_any"
"Men","35-49","Other",0.113638169237005,0.0408755152992384,"MDE_any"
"Women","35-49","Other",0.157670643321728,0.0454940879953535,"MDE_any"
"Men","50-64","Other",0.0998276193900253,0.0713571928804209,"MDE_any"
"Women","50-64","Other",0.128497756772243,0.0674484045917446,"MDE_any"
"Men","65 and over","Other",0,0,"MDE_any"
"Women","65 and over","Other",0.184137625997637,0.109987113836182,"MDE_any"
"Men","Under 18","NH Black",0,0,"SPD_month"
"Women","Under 18","NH Black",0,0,"SPD_month"
"Men","19-34","NH Black",0.161172553174637,0.0324319270483343,"SPD_month"
"Women","19-34","NH Black",0.169168336564338,0.0214869241921221,"SPD_month"
"Men","35-49","NH Black",0.112291952860772,0.0429955576716934,"SPD_month"
"Women","35-49","NH Black",0.0925439039757618,0.0295604570228892,"SPD_month"
"Men","50-64","NH Black",0.0916322652519588,0.0416478095322512,"SPD_month"
"Women","50-64","NH Black",0.0974567561080231,0.0495676156343939,"SPD_month"
"Men","65 and over","NH Black",0.00348058610828021,0.00356340822074327,"SPD_month"
"Women","65 and over","NH Black",0.0571312165570569,0.0533127907269677,"SPD_month"
"Men","Under 18","Hispanic",0,0,"SPD_month"
"Women","Under 18","Hispanic",0,0,"SPD_month"
"Men","19-34","Hispanic",0.122199833792079,0.0279368144201192,"SPD_month"
"Women","19-34","Hispanic",0.184220854706223,0.0251337058526386,"SPD_month"
"Men","35-49","Hispanic",0.11283188481114,0.0496858798848522,"SPD_month"
"Women","35-49","Hispanic",0.0636979598612799,0.0223745968641539,"SPD_month"
"Men","50-64","Hispanic",0.10497693080709,0.0868697849375786,"SPD_month"
