Gender,Race,Age,Month,p.recidivism,recidivism_type
Female,White,40-54,3,0.0241167582897704,rearrested
Female,White,55-64,3,0.017344837962601306,rearrested
Female,White,65 or older,3,0.009663911210040623,rearrested
Male,Black,24 or younger,3,0.041653314961559225,rearrested
Male,Black,25-39,3,0.03656786007195682,rearrested
Male,Black,40-54,3,0.03089178439659245,rearrested
Male,Black,55-64,3,0.02221050551431572,rearrested
Male,Black,65 or older,3,0.012388675149029338,rearrested
Male,Hispanic,24 or younger,3,0.03936670599782872,rearrested
Male,Hispanic,25-39,3,0.03448942341654519,rearrested
Male,Hispanic,40-54,3,0.029117840725122822,rearrested
Male,Hispanic,55-64,3,0.020926666497789834,rearrested
Male,Hispanic,65 or older,3,0.011696938954031724,rearrested
Male,Other or Unknown,24 or younger,3,0.03876531532141486,rearrested
Male,Other or Unknown,25-39,3,0.034033648664394255,rearrested
Male,Other or Unknown,40-54,3,0.02875135017750252,rearrested
Male,Other or Unknown,55-64,3,0.020671551858984887,rearrested
Male,Other or Unknown,65 or older,3,0.01152880245991921,rearrested
Male,White,24 or younger,3,0.038714807012049525,rearrested
Male,White,25-39,3,0.033995301681834386,rearrested
Male,White,40-54,3,0.028720134772559573,rearrested
Male,White,55-64,3,0.020649212265133117,rearrested
Male,White,65 or older,3,0.01151938623165286,rearrested
Female,Black,24 or younger,4,0.03318924506606429,rearrested
Female,Black,25-39,4,0.029187523134694953,rearrested
Female,Black,40-54,4,0.024669719187728836,rearrested
Female,Black,55-64,4,0.017742431818159675,rearrested
Female,Black,65 or older,4,0.00988412652334197,rearrested
Female,Hispanic,24 or younger,4,0.03130661101415679,rearrested
Female,Hispanic,25-39,4,0.027476932184795803,rearrested
Female,Hispanic,40-54,4,0.023209915427743755,rearrested
Female,Hispanic,55-64,4,0.016686098845526742,rearrested
Female,Hispanic,65 or older,4,0.00931401164652727,rearrested
Female,Other or Unknown,24 or younger,4,0.030888480324485035,rearrested
Female,Other or Unknown,25-39,4,0.027165002785925395,rearrested
Female,Other or Unknown,40-54,4,0.02296055825263664,rearrested
Female,Other or Unknown,55-64,4,0.016513158958249112,rearrested
Female,Other or Unknown,65 or older,4,0.009198197489997098,rearrested
Female,White,24 or younger,4,0.030855284455712183,rearrested
Female,White,25-39,4,0.0271408078645442,rearrested
Female,White,40-54,4,0.022941106284810036,rearrested
Female,White,55-64,4,0.016499305852463005,rearrested
Female,White,65 or older,4,0.009192811551731142,rearrested
Male,Black,24 or younger,4,0.039622784877067135,rearrested
Male,Black,25-39,4,0.03478523748669247,rearrested
Male,Black,40-54,4,0.029385861095198237,rearrested
Male,Black,55-64,4,0.021127780173482314,rearrested
Male,Black,65 or older,4,0.011784747763650311,rearrested
Male,Hispanic,24 or younger,4,0.03744764431138872,rearrested
Male,Hispanic,25-39,4,0.0328081211742456,rearrested
Male,Hispanic,40-54,4,0.02769839423827357,rearrested
Male,Hispanic,55-64,4,0.019906526181680304,rearrested
Male,Hispanic,65 or older,4,0.01112673256194629,rearrested
Male,Other or Unknown,24 or younger,4,0.03687557043394077,rearrested
Male,Other or Unknown,25-39,4,0.03237456468603952,rearrested
Male,Other or Unknown,40-54,4,0.027349769497571917,rearrested
Male,Other or Unknown,55-64,4,0.01966384795879005,rearrested
Male,Other or Unknown,65 or older,4,0.010966792443318217,rearrested
Male,White,24 or younger,4,0.03682752432096431,rearrested
Male,White,25-39,4,0.03233808705533818,rearrested
Male,White,40-54,4,0.027320075791895757,rearrested
Male,White,55-64,4,0.019642597383121664,rearrested
Male,White,65 or older,4,0.010957835240577083,rearrested
Female,Black,24 or younger,5,0.031571324363944456,rearrested
Female,Black,25-39,5,0.02776467974584337,rearrested
Female,Black,40-54,5,0.023467111255253723,rearrested
Female,Black,55-64,5,0.016877517666379172,rearrested
Female,Black,65 or older,5,0.009402291733407621,rearrested
Female,Hispanic,24 or younger,5,0.02978046560252741,rearrested
Female,Hispanic,25-39,5,0.026137477270288593,rearrested
Female,Hispanic,40-54,5,0.022078470509661132,rearrested
Female,Hispanic,55-64,5,0.01587267917580971,rearrested
Female,Hispanic,65 or older,5,0.008859969012152618,rearrested
Female,Other or Unknown,24 or younger,5,0.029382718091131178,rearrested
Female,Other or Unknown,25-39,5,0.025840753912743555,rearrested
Female,Other or Unknown,40-54,5,0.021841269083653612,rearrested
Female,Other or Unknown,55-64,5,0.01570816982147406,rearrested
Female,Other or Unknown,65 or older,5,0.008749800603848288,rearrested
Female,White,24 or younger,5,0.02935114046595517,rearrested
Female,White,25-39,5,0.025817738453688507,rearrested
Female,White,40-54,5,0.02182276536702648,rearrested
Female,White,55-64,5,0.015694992031640313,rearrested
Female,White,65 or older,5,0.008744677221148252,rearrested
Male,Black,24 or younger,5,0.037691239769589054,rearrested
Male,Black,25-39,5,0.033089514798639516,rearrested
Male,Black,40-54,5,0.02795334905941975,rearrested
Male,Black,55-64,5,0.020097835898929772,rearrested
Male,Black,65 or older,5,0.011210260837595886,rearrested
Male,Hispanic,24 or younger,5,0.03562213370226173,rearrested
Male,Hispanic,25-39,5,0.03120877963032652,rearrested
Male,Hispanic,40-54,5,0.02634814341562376,rearrested
Male,Hispanic,55-64,5,0.018936116015600246,rearrested
Male,Hispanic,65 or older,5,0.01058432278663836,rearrested
Male,Other or Unknown,24 or younger,5,0.03507794747840827,rearrested
Male,Other or Unknown,25-39,5,0.030796358302513833,rearrested
Male,Other or Unknown,40-54,5,0.02601651355335726,rearrested
Male,Other or Unknown,55-64,5,0.018705267953956096,rearrested
Male,Other or Unknown,65 or older,5,0.010432179483771318,rearrested
Male,White,24 or younger,5,0.035032243533826606,rearrested
Male,White,25-39,5,0.030761658895865452,rearrested
Male,White,40-54,5,0.0259882673666301,rearrested
Male,White,55-64,5,0.018685053308639163,rearrested
Male,White,65 or older,5,0.010423658929821658,rearrested
Female,Black,24 or younger,6,0.030032274615145127,rearrested
Female,Black,25-39,6,0.02641119761453517,rearrested
Female,Black,40-54,6,0.022323128466755594,rearrested
Female,Black,55-64,6,0.016054766646328145,rearrested
Female,Black,65 or older,6,0.008943945591078384,rearrested
Female,Hispanic,24 or younger,6,0.028328717250879532,rearrested
Female,Hispanic,25-39,6,0.024863318563375866,rearrested
Female,Hispanic,40-54,6,0.021002181656521554,rearrested
Female,Hispanic,55-64,6,0.015098912367148342,rearrested
Female,Hispanic,65 or older,6,0.008428060203851373,rearrested
Female,Other or Unknown,24 or younger,6,0.027950359271592982,rearrested
Female,Other or Unknown,25-39,6,0.024581059977838115,rearrested
Female,Other or Unknown,40-54,6,0.020776543406987192,rearrested
Female,Other or Unknown,55-64,6,0.014942422571243204,rearrested
Female,Other or Unknown,65 or older,6,0.008323262322901924,rearrested
Female,White,24 or younger,6,0.027920321003319922,rearrested
Female,White,25-39,6,0.024559166484275193,rearrested
Female,White,40-54,6,0.02075894171588483,rearrested
Female,White,55-64,6,0.014929887176828149,rearrested
Female,White,65 or older,6,0.008318388696619028,rearrested
Male,Black,24 or younger,6,0.035853854285514485,rearrested
Male,Black,25-39,6,0.03147645578180278,rearrested
Male,Black,40-54,6,0.026590669611701295,rearrested
Male,Black,55-64,6,0.019118099701135583,rearrested
Male,Black,65 or older,6,0.010663779197257079,rearrested
Male,Hispanic,24 or younger,6,0.03388561371044367,rearrested
Male,Hispanic,25-39,6,0.02968740333655147,rearrested
Male,Hispanic,40-54,6,0.025063715083201467,rearrested
Male,Hispanic,55-64,6,0.018013011737139012,rearrested
Male,Hispanic,65 or older,6,0.010068354589099257,rearrested
Male,Other or Unknown,24 or younger,6,0.033367955663282045,rearrested
Male,Other or Unknown,25-39,6,0.029295086865084138,rearrested
Male,Other or Unknown,40-54,6,0.024748251627207063,rearrested
Male,Other or Unknown,55-64,6,0.017793417135982884,rearrested
Male,Other or Unknown,65 or older,6,0.009923628020144284,rearrested
Male,White,24 or younger,6,0.033324479710266926,rearrested
Male,White,25-39,6,0.029262078997012667,rearrested
Male,White,40-54,6,0.02472138239527869,rearrested
Male,White,55-64,6,0.017774187921129322,rearrested
Male,White,65 or older,6,0.009915522829081043,rearrested
Female,Black,24 or younger,7,0.02856825099138172,rearrested
Female,Black,25-39,7,0.02512369549439726,rearrested
Female,Black,40-54,7,0.02123491294360789,rearrested
Female,Black,55-64,7,0.015272123375199427,rearrested
Female,Black,65 or older,7,0.008507943063704384,rearrested
Female,Hispanic,24 or younger,7,0.026947739225815573,rearrested
Female,Hispanic,25-39,7,0.023651272982133716,rearrested
Female,Hispanic,40-54,7,0.019978360101553086,rearrested
Female,Hispanic,55-64,7,0.01436286540827127,rearrested
Female,Hispanic,65 or older,7,0.008017206234278379,rearrested
Female,Other or Unknown,24 or younger,7,0.026587825571076973,rearrested
Female,Other or Unknown,25-39,7,0.02338277403493614,rearrested
Female,Other or Unknown,40-54,7,0.019763721342799096,rearrested
Female,Other or Unknown,55-64,7,0.014214004230611636,rearrested
Female,Other or Unknown,65 or older,7,0.007917517076374269,rearrested
Female,White,24 or younger,7,0.02655925161860857,rearrested
Female,White,25-39,7,0.023361947812906715,rearrested
Female,White,40-54,7,0.019746977704971826,rearrested
Female,White,55-64,7,0.014202079915903063,rearrested
Female,White,65 or older,7,0.007912881031297026,rearrested
Male,Black,24 or younger,7,0.034106038299225754,rearrested
Male,Black,25-39,7,0.029942030719184835,rearrested
Male,Black,40-54,7,0.02529441852908811,rearrested
Male,Black,55-64,7,0.018186124019552954,rearrested
Male,Black,65 or older,7,0.010143937631360234,rearrested
Male,Hispanic,24 or younger,7,0.0322337461907989,rearrested
Male,Hispanic,25-39,7,0.028240191616164975,rearrested
Male,Hispanic,40-54,7,0.02384190050367649,rearrested
Male,Hispanic,55-64,7,0.01713490726266141,rearrested
Male,Hispanic,65 or older,7,0.009577538986226656,rearrested
Male,Other or Unknown,24 or younger,7,0.031741323115672765,rearrested
Male,Other or Unknown,25-39,7,0.027866999922610068,rearrested
Male,Other or Unknown,40-54,7,0.02354181536843629,rearrested
Male,Other or Unknown,55-64,7,0.016926017534441593,rearrested
Male,Other or Unknown,65 or older,7,0.009439867597695127,rearrested
Male,White,24 or younger,7,0.03169996654332713,rearrested
Male,White,25-39,7,0.027835601133412772,rearrested
Male,White,40-54,7,0.02351625596704188,rearrested
Male,White,55-64,7,0.016907725711949175,rearrested
Male,White,65 or older,7,0.00943215752126585,rearrested
Female,Black,24 or younger,8,0.027175596093377656,rearrested
Female,Black,25-39,8,0.023898956969214527,rearrested
Female,Black,40-54,8,0.020199746124031616,rearrested
Female,Black,55-64,8,0.014527632666691928,rearrested
Female,Black,65 or older,8,0.00809319493708011,rearrested
Female,Hispanic,24 or younger,8,0.025634081591181593,rearrested
Female,Hispanic,25-39,8,0.022498312614607666,rearrested
Female,Hispanic,40-54,8,0.01900444815090863,rearrested
Female,Hispanic,55-64,8,0.013662699519003623,rearrested
Female,Hispanic,65 or older,8,0.0076263807149336785,rearrested
Female,Other or Unknown,24 or younger,8,0.025291713130731627,rearrested
Female,Other or Unknown,25-39,8,0.02224290254618102,rearrested
Female,Other or Unknown,40-54,8,0.01880027267598572,rearrested
Female,Other or Unknown,55-64,8,0.013521095077090704,rearrested
Female,Other or Unknown,65 or older,8,0.0075315512382916425,rearrested
Female,White,24 or younger,8,0.025264532111098786,rearrested
Female,White,25-39,8,0.022223091567966313,rearrested
Female,White,40-54,8,0.01878434526275818,rearrested
Female,White,55-64,8,0.01350975205296549,rearrested
Female,White,65 or older,8,0.00752714119272995,rearrested
Male,Black,24 or younger,8,0.0324434254461232,rearrested
Male,Black,25-39,8,0.02848240633581462,rearrested
Male,Black,40-54,8,0.02406135753885366,rearrested
Male,Black,55-64,8,0.017299580608156145,rearrested
Male,Black,65 or older,8,0.00964943748041913,rearrested
Male,Hispanic,24 or younger,8,0.030662404475578796,rearrested
Male,Hispanic,25-39,8,0.026863529069105652,rearrested
Male,Hispanic,40-54,8,0.022679647360346597,rearrested
Male,Hispanic,55-64,8,0.016299608926288293,rearrested
Male,Hispanic,65 or older,8,0.009110649830708622,rearrested
Male,Other or Unknown,24 or younger,8,0.030193986209416,rearrested
Male,Other or Unknown,25-39,8,0.02650852985222986,rearrested
Male,Other or Unknown,40-54,8,0.022394190878205825,rearrested
Male,Other or Unknown,55-64,8,0.016100902226187198,rearrested
Male,Other or Unknown,65 or older,8,0.008979689694245388,rearrested
Male,White,24 or younger,8,0.030154645701444036,rearrested
Male,White,25-39,8,0.02647866170197788,rearrested
Male,White,40-54,8,0.022369877455277264,rearrested
Male,White,55-64,8,0.016083502099731587,rearrested
Male,White,65 or older,8,0.008972355471266378,rearrested
Female,Black,24 or younger,9,0.025850830814010718,rearrested
Female,Black,25-39,9,0.022733922417732685,rearrested
Female,Black,40-54,9,0.01921504197162978,rearrested
Female,Black,55-64,9,0.013819434646596967,rearrested
