Gender,Age.Group,Race,n,p.lwr,p.upr,p,health_outcome,se
Men,18-24,NH Black,18,1.2664739939838057e-4,0.5341648673906934,0.0827892579681264,cvd,0.07906043253045558
Women,18-24,NH Black,35,NA,NA,0,cvd,0
Men,25-34,NH Black,24,4.420846500685186e-4,0.6670334971939076,0.1292125248467995,cvd,0.11398784599678984
Women,25-34,NH Black,90,2.0454943548984873e-5,0.01579336267314646,0.002326630462707554,cvd,0.002355347403286303
Men,35-44,NH Black,26,NA,NA,0,cvd,0
Women,35-44,NH Black,52,0.016608175268163834,0.16915044126015655,0.06645721275539344,cvd,0.030624338534209924
Men,45-54,NH Black,31,9.369131741504707e-4,0.18584873523946888,0.036357411576870224,cvd,0.02617764912047088
Women,45-54,NH Black,45,0.0802868682865527,0.4093942133564722,0.21188323178547927,cvd,0.06654597267482028
Men,55-64,NH Black,54,0.048761419462078105,0.34172900731851186,0.15703242981257493,cvd,0.05783719918413055
Women,55-64,NH Black,57,0.05705326093802767,0.25419559070332265,0.1343281439252197,cvd,0.037865436093584455
Men,65 and over,NH Black,42,0.08107553253047063,0.33153679976273387,0.18280394461384242,cvd,0.03766816115477503
Women,65 and over,NH Black,57,0.05962644581089764,0.37240242893050546,0.1788386504788394,cvd,0.0529636493576354
Men,18-24,Hispanic,12,NA,NA,0,cvd,0
Women,18-24,Hispanic,26,NA,NA,0,cvd,0
Men,25-34,Hispanic,17,NA,NA,0,cvd,0
Women,25-34,Hispanic,34,NA,NA,0,cvd,0
Men,35-44,Hispanic,16,1.2603439646618033e-4,0.8224724600625998,0.1635141179841836,cvd,0.10599782449167647
Women,35-44,Hispanic,37,2.42351226206974e-9,0.28457452428731156,0.017549139428508748,cvd,0.01753385269839051
Men,45-54,Hispanic,14,2.454739192163548e-58,0.9899544885517475,0.033520546074589194,cvd,0.03349076623830261
Women,45-54,Hispanic,30,0.0071791081384884724,0.44849360105352987,0.122217722083917,cvd,0.07235353594958324
Men,55-64,Hispanic,32,0.033333395172821204,0.5325487167804438,0.20504170254513004,cvd,0.07605761214810433
Women,55-64,Hispanic,44,0.004704330411529017,0.17254782648114653,0.047585765602605384,cvd,0.02882920391262489
Men,65 and over,Hispanic,31,0.027701645454552032,0.7325809972333468,0.2803069370819393,cvd,0.08600521337862417
Women,65 and over,Hispanic,50,0.05810727823019638,0.3957453734213763,0.1857932766310326,cvd,0.062001618381660684
Men,18-24,NH White,14,NA,NA,0,cvd,0
Women,18-24,NH White,19,NA,NA,0,cvd,0
Men,25-34,NH White,24,NA,NA,0,cvd,0
Women,25-34,NH White,50,0.0020637136840755345,0.19170546542013422,0.04335530042253375,cvd,0.029651712200808988
Men,35-44,NH White,30,3.9802704125925325e-4,0.7933841080417395,0.17064999021045088,cvd,0.13098320038691957
Women,35-44,NH White,46,7.596712294092549e-4,0.16501543224405557,0.031513565133342455,cvd,0.022669383087257942
Men,45-54,NH White,23,1.3027167045908366e-10,0.998561305291391,0.2233080910087224,cvd,0.07868100958050026
Women,45-54,NH White,35,0.014783916928910217,0.29987324850677743,0.09992559214228144,cvd,0.056701892477701625
Men,55-64,NH White,33,0.031702775759306426,0.4153738663173351,0.1615136601113652,cvd,0.05681611782064551
Women,55-64,NH White,31,0.030673084351915087,0.47347247050970587,0.1797334064537231,cvd,0.07616094451015794
Men,65 and over,NH White,35,0.08828352483483003,0.6139855439996657,0.30498933497945246,cvd,0.09412067465760238
Women,65 and over,NH White,30,0.10768721686996906,0.5979250033943173,0.3155655640104976,cvd,0.07677795257250294
Men,18-24,Other,13,NA,NA,0,cvd,0
Women,18-24,Other,9,NA,NA,0,cvd,0
Men,25-34,Other,19,NA,NA,0,cvd,0
Women,25-34,Other,27,NA,NA,0,cvd,0
Men,35-44,Other,22,NA,NA,0,cvd,0
Women,35-44,Other,18,3.6532032061115605e-38,0.9999995525157651,0.14500394513484885,cvd,0.1074074363952728
Men,45-54,Other,19,1.7045496869134206e-9,0.25543160800938935,0.015289840372027198,cvd,0.015950498934276133
Women,45-54,Other,18,8.417420852967276e-10,0.5511185458789363,0.03774047849972447,cvd,0.04091586903494995
Men,55-64,Other,16,6.757060997391093e-25,0.9999998970390738,0.22425778467333943,cvd,0.12833412672108432
Women,55-64,Other,26,0.0034766735216880443,0.4272474559419419,0.10128757944314444,cvd,0.06773602290555004
Men,65 and over,Other,20,0.008963906476014753,0.6028755060439246,0.17602530896267918,cvd,0.06874773622917899
Women,65 and over,Other,22,0.010806790222045805,0.751642374889949,0.2434779822148511,cvd,0.09306555297745965
Men,18-24,NH Black,18,NA,NA,0,str,0
Women,18-24,NH Black,35,9.078390409893469e-5,0.12458211872871439,0.01768160341241544,str,0.01815368101573309
Men,25-34,NH Black,24,NA,NA,0,str,0
Women,25-34,NH Black,90,0.0010514136886239918,0.061699744616278474,0.014734562929864315,str,0.010514157535128112
Men,35-44,NH Black,26,1.608027486478091e-5,0.48645019478055485,0.05997863130962679,str,0.05799876684829616
Women,35-44,NH Black,52,0.0024185585963683773,0.10660545359268891,0.027572991305790974,str,0.019046569849111083
Men,45-54,NH Black,31,0.0059584613966682685,0.2986361313794017,0.08001975515500247,str,0.045833033160056894
Women,45-54,NH Black,45,0.034652137247246424,0.2887269342588584,0.12406510613390163,str,0.049653716201632135
Men,55-64,NH Black,54,0.019335534806991454,0.13285706171169964,0.05905352509020386,str,0.02181937308036953
Women,55-64,NH Black,57,0.14580528207656784,0.36104433597127095,0.24162269025354954,str,0.0426048838948127
