state,sex_gender_standardized,los_cutoff,p,se,p.m,p.lwr,p.upr,nStrata,p.raw
AR,Trans,3,-0.9161068170662241,0.1931350338483785,0.40007357268851845,0.273995244780058,0.5841665744682468,NA,NA
AR,Trans,7,-1.3907257387052878,0.24167133155522133,0.24889460662026713,0.15499028450359664,0.3996929575493487,NA,NA
AR,Trans,14,-1.6547744666559763,0.2860175457268907,0.191135158196146,0.10911438370101123,0.33481056721880365,NA,NA
AR,Trans,30,-2.158285277002113,0.39069455446850654,0.11552304131607181,0.05371663586943286,0.2484439477437391,NA,NA
AR,Trans,60,-2.6448115138803416,0.5236340638555467,0.0710187385246218,0.025448068822166464,0.19819426208228952,NA,NA
AR,Trans,90,-2.703517923817357,0.5322002097489953,0.06696950423918674,0.023597578751481163,0.190058248995607,NA,NA
AZ,Male,3,-0.36275735360609673,0.08060426550791075,0.695755235517604,0.5940814718655953,0.8148299024206456,11613,0.6573667441660208
AZ,Male,7,-0.6349249570208542,0.10708512797114532,0.5299752577475565,0.4296398621406315,0.6537423516178585,11613,0.5005597175579093
AZ,Male,14,-0.9566807363934801,0.13882709048632183,0.38416591999566646,0.29265031881886444,0.5042996525059772,11613,0.3663136140532162
AZ,Male,30,-1.3115635017434588,0.18079414304045285,0.2693985218769495,0.1890179092040133,0.3839613076618684,11613,0.2489451476793249
AZ,Male,60,-1.8790656091732374,0.19685445508306365,0.15273275118486906,0.10384111885025855,0.22464408649272793,11613,0.14647377938517178
AZ,Male,90,-2.335704965431203,0.22305588426263537,0.09674225853350472,0.062481393839693276,0.14978962553517536,11613,0.08834926375613536
AZ,Female,3,-0.4581560589795576,0.080628918111891,0.6324487691959628,0.540000164609588,0.7407246735687129,3945,0.6192648922686945
AZ,Female,7,-0.7765043039125157,0.10711113111796716,0.46001126350767735,0.37290250908484185,0.567468325899048,3945,0.4681875792141952
AZ,Female,14,-1.148786532805261,0.13885202119098863,0.31702123092990586,0.24148896668923528,0.41617827198559443,3945,0.338149556400507
AZ,Female,30,-1.5959898681904126,0.1808144549768853,0.20270777518067185,0.14222006210712043,0.28892155937710395,3945,0.20228136882129277
AZ,Female,60,-2.2996535532208604,0.19691916679435714,0.10029358409378909,0.06817972620800633,0.14753363748763107,3945,0.09277566539923954
AZ,Female,90,-2.8835824398451284,0.2231544434582797,0.05593402320656893,0.03611824599831626,0.08662145310762985,3945,0.048922686945500636
AZ,Unknown Gender,3,-0.5313872786450807,0.08061239022180051,0.58778897670921,0.5018848037689853,0.6883967766035213,77112,0.7543702666251686
AZ,Unknown Gender,7,-0.8304199506557306,0.10710883812207925,0.43586620558294276,0.3533312008823647,0.5376806483402591,77112,0.5679920116194626
AZ,Unknown Gender,14,-1.2082275720669,0.1388690234750675,0.2987262812878699,0.22754531886069884,0.39217414613881774,77112,0.4072128851540616
AZ,Unknown Gender,30,-1.6391366183539167,0.1809077983218351,0.1941475934189886,0.1361893084036213,0.27677127134440044,77112,0.29108309990662934
AZ,Unknown Gender,60,-2.1885827130935565,0.19758002906970853,0.11207547921658573,0.07609045461317232,0.16507869621077112,77112,0.17114067849361966
AZ,Unknown Gender,90,-2.6544414028823162,0.2239309036021685,0.07033811836362515,0.045350326224263014,0.10909405304979683,77112,0.11646695715323166
AZ,Trans,3,-0.7810508353589136,0.20694100060044915,0.4579245550697277,0.30524280306238427,0.6869773702508932,NA,NA
AZ,Trans,7,-1.171851270322141,0.2611119772773937,0.30979289967517276,0.18570027277597087,0.5168093684220486,NA,NA
AZ,Trans,14,-1.4795359395209715,0.3134836198108883,0.22774335055345138,0.1231992218452818,0.42100130945996406,NA,NA
AZ,Trans,30,-1.9276701262503368,0.425061443341855,0.1454867697220462,0.06324272065747943,0.3346851612977286,NA,NA
AZ,Trans,60,-2.4155250311816534,0.5547176723504982,0.08932043059744191,0.0301144037864196,0.26492768638873937,NA,NA
AZ,Trans,90,-2.478894132707897,0.5711012139432023,0.08383588571176816,0.027372075063110637,0.25677467699732076,NA,NA
CA,Male,3,-0.548291596165798,0.03528455328334143,0.5779363160838076,0.5393189981625425,0.6193187827361817,151364,0.6072183610369705
CA,Male,7,-0.9275574994841763,0.04674667282047506,0.395518585887488,0.36089100385822015,0.4334686930680472,151364,0.40588911498110514
CA,Male,14,-1.2062636767177293,0.060395752215846955,0.2993135248961175,0.26589941631109815,0.33692659964669314,151364,0.30925451230147194
CA,Male,30,-1.6050865832785763,0.0781232922081894,0.20087216198691524,0.17235388889049136,0.23410916760302689,151364,0.2092835813007056
CA,Male,60,-2.1166331577165916,0.08425432708756801,0.1204364371547073,0.1021034662988721,0.14206114562322156,151364,0.12000211410903518
CA,Male,90,-2.603175422292516,0.09597709560223767,0.07403810230391943,0.061342211180154003,0.08936164000783704,151364,0.06825929547316403
CA,Female,3,-0.6436903015392589,0.035344614154806234,0.5253501420063763,0.49018889001642363,0.5630335108102362,36586,0.5107964795276881
CA,Female,7,-1.069136846375838,0.046832433786158756,0.34330471427694115,0.31319579843778667,0.37630813514308237,36586,0.3002241294484229
CA,Female,14,-1.3983694731295102,0.06050604377824021,0.24699937489927945,0.21937797145014273,0.27809852920670314,36586,0.21538293336248837
CA,Female,30,-1.88951294972553,0.07829667569980607,0.1511454063237126,0.12964288925437034,0.1762143221595168,36586,0.13472366478981032
CA,Female,60,-2.5372211017642146,0.08466036997436405,0.07908586628621292,0.06699398914752315,0.093360230161365,36586,0.06961679330891597
CA,Female,90,-3.151052896706441,0.09641687837327592,0.04280703174821493,0.035436018448429724,0.051711282681474104,36586,0.03862133056360356
CA,Unknown Gender,3,-0.716921521204782,0.03748598965608244,0.48825302131038967,0.45366660049631957,0.5254762253997091,54614,0.5260922107884425
CA,Unknown Gender,7,-1.1230524931190526,0.04976312005989636,0.3252853463405019,0.2950570899254761,0.3586104525418634,54614,0.3522173801589336
CA,Unknown Gender,14,-1.4578105123911493,0.06441399029572584,0.2327453102357181,0.20514061390936247,0.264064625743271,54614,0.2602080052733731
CA,Unknown Gender,30,-1.9326596998890342,0.08414613038634701,0.14476266077080388,0.12275275299702253,0.1707190058210031,54614,0.17914820375727836
CA,Unknown Gender,60,-2.4261502616369106,0.09452100150348433,0.08837640456639172,0.07343107848550758,0.10636353224233264,54614,0.10748159812502289
CA,Unknown Gender,90,-2.921911859743629,0.10821822651296649,0.05383067216140804,0.04354259231796991,0.06654958079179638,54614,0.0651115098692643
CA,Trans,3,-0.9665850779186149,0.1937851948072835,0.3803797900341045,0.2601759670671326,0.5561189463324093,9,0.7777777777777778
CA,Trans,7,-1.4644838127854634,0.24260113758422241,0.23119730177266692,0.14370778599736936,0.37195056604615767,9,0.4444444444444444
CA,Trans,14,-1.7291188798452208,0.28733371145910475,0.177440687676238,0.10103557404889528,0.3116248701450367,9,0.3333333333333333
CA,Trans,30,-2.221193207785454,0.39219634255144153,0.1084795928758227,0.05029327472707353,0.23398400947969034,9,0.3333333333333333
CA,Trans,60,-2.6530925797250076,0.5241101782013737,0.07043305605920314,0.025214661378008155,0.19674328802073862,9,0.3333333333333333
CA,Trans,90,-2.7463645895692097,0.5325733660902778,0.06416068817452614,0.022591327026873408,0.1822201016404173,9,0.3333333333333333
CO,Male,3,-0.493933427196302,0.056890634051591345,0.6102214058883445,0.5458358327894559,0.6822017570766215,69805,0.6215600601676098
CO,Male,7,-0.7997535296330345,0.07524246919831035,0.44943972404085464,0.3878153094067719,0.5208563474580366,69805,0.4523458204999642
CO,Male,14,-1.1358205422688032,0.09723854698652616,0.3211584890732067,0.26542987638275506,0.3885876620574962,69805,0.32890194112169613
CO,Male,30,-1.5730861715751965,0.12554700607654734,0.20740410896893044,0.16216291809323904,0.2652669606775498,69805,0.22386648520879593
CO,Male,60,-2.12753854577518,0.1370409841459367,0.11913016671012486,0.09106935325004671,0.15583723957515713,69805,0.12762696081942554
CO,Male,90,-2.656730114043903,0.15571948817311676,0.0701773188091006,0.0517187598998219,0.09522378503996388,69805,0.07760189098202135
CO,Female,3,-0.5893321325697629,0.05691896173885193,0.5546976255291847,0.4961429204894139,0.6201629471286201,23343,0.5768324551257337
CO,Female,7,-0.941332876524696,0.07527678656054666,0.39010752351962713,0.3365957353622904,0.45212658366813624,23343,0.3961787259563895
CO,Female,14,-1.3279263386805842,0.09728022537348398,0.2650262665952389,0.2190200333598086,0.3206963349787339,23343,0.2698881891787688
CO,Female,30,-1.8575125380221502,0.12559809961900972,0.15606034212624528,0.12200658140002268,0.19961898862413496,23343,0.1685301803538534
CO,Female,60,-2.548126489822803,0.13711593998661792,0.07822808991757813,0.059792873707182295,0.10234721418679028,23343,0.0854217538448357
CO,Female,90,-3.204607588457828,0.15582431292260648,0.040574820542189124,0.029896387367885024,0.05506739131294976,23343,0.04472432849248169
CO,Unknown Gender,3,-0.6625633522352861,0.05778167150318056,0.5155281590749743,0.46032922114473707,0.5773461048992774,15710,0.5196053469127944
