Race,counts,depFALSE,depTRUE,se.depFALSE,se.depTRUE
NH Black,1538,0.8562305047694275,0.1437694952305724,0.013416068259554333,0.013416068259554336
Hispanic,1089,0.8676410024137036,0.13235899758629646,0.01552091608435719,0.015520916084357192
NH White,979,0.7564709750361079,0.24352902496389214,0.032210857090081924,0.032210857090081924
Other,573,0.8025741527083955,0.19742584729160453,0.030708731985329557,0.03070873198532956
