Age.Group,counts,hbvFALSE,hbvTRUE,se.hbvFALSE,se.hbvTRUE
Under 18,1456,1,0,0,0
18-24,256,1,0,0,0
25-34,285,1,0,0,0
35-44,247,0.9978200885261083,0.002179911473891714,0.002139830838511236,0.0021398308385112354
45-54,215,0.9793839617451344,0.020616038254865597,0.008310866369642084,0.008310866369642083
55-64,293,0.9744526104478404,0.025547389552159634,0.01361633163528109,0.013616331635281089
65 and over,287,0.9839740635252495,0.016025936474750414,0.007621536352379782,0.007621536352379783
