Race,counts,cvdFALSE,cvdTRUE,se.cvdFALSE,se.cvdTRUE
NH Black,531,0.9124625073516943,0.08753749264830579,0.010673642806346313,0.01067364280634631
Hispanic,343,0.9277412238814129,0.07225877611858707,0.017749229763775902,0.017749229763775895
NH White,370,0.8930252450917795,0.10697475490822056,0.014111315764579998,0.014111315764579996
Other,229,0.932125909110599,0.06787409088940101,0.02143157500468057,0.02143157500468057
