Race,counts,astFALSE,astTRUE,se.astFALSE,se.astTRUE
NH Black,317,0.2654480859466254,0.7345519140533746,0.026930527567485027,0.026930527567485027
Hispanic,171,0.40433737036635936,0.5956626296336406,0.05868358340154531,0.05868358340154531
NH White,165,0.25691250200648996,0.74308749799351,0.04846133903228709,0.04846133903228709
Other,85,0.43109147872469994,0.5689085212753,0.0765024376500742,0.0765024376500742
