Age.Group,counts,hcvFALSE,hcvTRUE,se.hcvFALSE,se.hcvTRUE
Under 18,1456,1,0,0,0
18-24,256,1,0,0,0
25-34,285,0.9741317087427949,0.025868291257205165,0.01788738827294902,0.017887388272949018
35-44,247,0.9844340384477042,0.015565961552295825,0.008541329920062355,0.008541329920062355
45-54,215,0.9489501134953585,0.05104988650464157,0.024859901499907525,0.02485990149990753
55-64,293,0.8472876088489971,0.15271239115100294,0.06356468548518948,0.06356468548518948
65 and over,287,0.9720571359380501,0.027942864061949926,0.009534689049952052,0.009534689049952052
