Race,counts,strFALSE,strTRUE,se.strFALSE,se.strTRUE
NH Black,531,0.9286836346714764,0.07131636532852371,0.010986564047737271,0.010986564047737275
Hispanic,343,0.9706360836673166,0.029363916332683374,0.010089018063528623,0.010089018063528622
NH White,370,0.9274349537204984,0.0725650462795016,0.018487141104770576,0.01848714110477058
Other,229,0.9236840554215543,0.07631594457844576,0.01961031321403178,0.019610313214031783
