Race,counts,dmFALSE,dmTRUE,se.dmFALSE,se.dmTRUE
NH Black,1450,0.9256478301936342,0.07435216980636582,0.008569212596774532,0.008569212596774532
Hispanic,986,0.9317544209889044,0.06824557901109553,0.008536657523625424,0.00853665752362542
NH White,895,0.9215100394753933,0.07848996052460672,0.014650313444430603,0.014650313444430603
Other,546,0.9163330225736731,0.08366697742632682,0.020329045918184067,0.020329045918184064
