Gender,counts,dmFALSE,dmTRUE,se.dmFALSE,se.dmTRUE
Men,1821,0.9330061001963603,0.06699389980363964,0.007423003759263894,0.007423003759263894
Women,2056,0.9180913656534238,0.08190863434657619,0.011038310212383795,0.011038310212383794
