Age.Group,counts,strFALSE,strTRUE,se.strFALSE,se.strTRUE
18-24,146,0.9977398701131655,0.0022601298868345993,0.0022665069442906506,0.0022665069442906515
25-34,285,0.9973656818046237,0.002634318195376239,0.001939735037385156,0.0019397350373851563
35-44,247,0.9746780514214503,0.025321948578549767,0.010478290956922888,0.01047829095692289
45-54,215,0.8833548719016464,0.11664512809835367,0.03307989623334347,0.03307989623334347
55-64,293,0.8684635671927377,0.13153643280726238,0.04225703180849348,0.04225703180849348
65 and over,287,0.8380802376992303,0.16191976230076968,0.02187062847542442,0.02187062847542442
