Gender,counts,cvdFALSE,cvdTRUE,se.cvdFALSE,se.cvdTRUE
Men,585,0.893551851185789,0.10644814881421104,0.01594898770985821,0.01594898770985821
Women,888,0.9180571029720914,0.081942897027908565,0.010522665578471613,0.010522665578471613
