Age.Group,counts,ckdFALSE,ckdTRUE,se.ckdFALSE,se.ckdTRUE
18-24,146,0.9893537173954103,0.010646282604589693,0.008231627610659405,0.008231627610659405
25-34,285,0.9383127893187646,0.06168721068123536,0.03632159761882482,0.03632159761882482
35-44,247,0.9723796922273985,0.027620307772601493,0.011498755734530025,0.011498755734530025
45-54,215,0.9487977685415182,0.05120223145848178,0.012161518009959732,0.012161518009959732
55-64,293,0.9665139903246542,0.033486009675345804,0.010461888425961163,0.010461888425961163
65 and over,287,0.8814419496118028,0.1185580503881972,0.027229278033727104,0.027229278033727107
