Race,counts,htnFALSE,htnTRUE,se.htnFALSE,se.htnTRUE
NH Black,641,0.6228909322814851,0.37710906771851493,0.019830663545169516,0.019830663545169516
Hispanic,416,0.7219713997301183,0.27802860026988174,0.026266787371093454,0.026266787371093454
NH White,435,0.6593273267099027,0.34067267329009737,0.029913977427127893,0.029913977427127893
Other,268,0.64267521810468,0.35732478189532,0.05903539431309542,0.05903539431309542
