Age.Group,counts,astFALSE,astTRUE,se.astFALSE,se.astTRUE
Under 18,407,0.31709657508419775,0.6829034249158022,0.029332842008424488,0.029332842008424488
18-24,54,0.4493588059790287,0.5506411940209713,0.09119061731159335,0.09119061731159336
25-34,70,0.29672163112618744,0.7032783688738126,0.04874176608974201,0.04874176608974201
35-44,56,0.14898321722678015,0.8510167827732199,0.057861868218706695,0.05786186821870671
45-54,50,0.333965509581826,0.666034490418174,0.06839062364884396,0.06839062364884396
55-64,61,0.24117397540672894,0.7588260245932711,0.09183461634139091,0.09183461634139091
65 and over,40,0.42248967729313275,0.5775103227068673,0.10367275169979943,0.10367275169979943
