Age.Group,counts,htnFALSE,htnTRUE,se.htnFALSE,se.htnTRUE
Under 18,177,0.9450612674958135,0.054938732504186405,0.02189882709377578,0.021898827093775778
18-24,256,0.933928950218573,0.06607104978142697,0.022255081240001015,0.022255081240001015
25-34,285,0.791287181155413,0.20871281884458706,0.03772425432641465,0.03772425432641465
35-44,247,0.6458024865686363,0.35419751343136374,0.03133153716020529,0.03133153716020529
45-54,215,0.5314764190153912,0.4685235809846088,0.07681932477120297,0.07681932477120297
55-64,293,0.40980955445693484,0.5901904455430652,0.04791981064004412,0.047919810640044115
65 and over,287,0.31936772046349715,0.6806322795365028,0.029396518909377424,0.029396518909377424
