Race,counts,ckdFALSE,ckdTRUE,se.ckdFALSE,se.ckdTRUE
NH Black,531,0.9417495969536046,0.05825040304639542,0.009830190137954062,0.009830190137954062
Hispanic,343,0.9643079643335358,0.03569203566646412,0.005638961080831436,0.005638961080831436
NH White,370,0.945022718807311,0.05497728119268897,0.016141832889081758,0.016141832889081758
Other,229,0.9676804498049584,0.03231955019504159,0.016091847294235472,0.016091847294235472
