Race,counts,hcvFALSE,hcvTRUE,se.hcvFALSE,se.hcvTRUE
NH Black,1142,0.9796668070252886,0.02033319297471141,0.006049471916540637,0.006049471916540638
Hispanic,761,0.9908608486861736,0.009139151313826348,0.004064557292314692,0.004064557292314692
NH White,695,0.9543276452687931,0.04567235473120681,0.01867655053942555,0.018676550539425543
Other,441,0.9917877211502445,0.008212278849755521,0.0034380533374770046,0.0034380533374770046
