Gender,counts,htnFALSE,htnTRUE,se.htnFALSE,se.htnTRUE
Men,728,0.6595478589275279,0.3404521410724721,0.02222324180569608,0.02222324180569608
Women,1032,0.666268461523986,0.3337315384760139,0.02788790189138566,0.027887901891385656
