Age.Group,counts,depFALSE,depTRUE,se.depFALSE,se.depTRUE
Under 18,2596,1,0,0,0
18-24,256,0.718778500351926,0.28122149964807397,0.03417565294407236,0.03417565294407236
25-34,285,0.6996530195888822,0.3003469804111179,0.02940384201221754,0.029403842012217542
35-44,247,0.6977184160373151,0.3022815839626849,0.038016754385510464,0.038016754385510464
45-54,215,0.5227408938769181,0.47725910612308187,0.0600992892727874,0.0600992892727874
55-64,293,0.5475585257914577,0.4524414742085423,0.07087172223462428,0.07087172223462428
65 and over,287,0.706186672619897,0.29381332738010296,0.04113138962940806,0.041131389629408065
