Race,counts,hbvFALSE,hbvTRUE,se.hbvFALSE,se.hbvTRUE
NH Black,1142,0.9933678884745746,0.0066321115254254215,0.003267860426377926,0.003267860426377926
Hispanic,761,0.9982030497030785,0.0017969502969214896,0.001347986801630373,0.001347986801630373
NH White,695,0.9942444546197583,0.005755545380241676,0.0032318584603813205,0.0032318584603813205
Other,441,0.9855150462086787,0.01448495379132134,0.00505705680730293,0.005057056807302931
