Age.Group,counts,dmFALSE,dmTRUE,se.dmFALSE,se.dmTRUE
Under 18,2294,0.994924921856716,0.005075078143284015,0.0014210279549697077,0.0014210279549697077
18-24,256,0.9927638748624864,0.00723612513751362,0.005866772904358557,0.005866772904358558
25-34,285,0.9853226566107097,0.014677343389290217,0.008598768929969166,0.008598768929969164
35-44,247,0.9150116008269291,0.08498839917307087,0.01788754658575909,0.01788754658575909
45-54,215,0.8200937743737302,0.17990622562626982,0.04492910215461426,0.04492910215461426
55-64,293,0.7355437939872514,0.2644562060127486,0.03482787517458636,0.034827875174586354
65 and over,287,0.6120135791346282,0.38798642086537183,0.02947239341812453,0.02947239341812453
