Age.Group,counts,cvdFALSE,cvdTRUE,se.cvdFALSE,se.cvdTRUE
18-24,146,0.9943012621386582,0.005698737861341852,0.0055643406816071215,0.005564340681607119
25-34,285,0.9771622451486514,0.022837754851348653,0.012540614436497842,0.012540614436497842
35-44,247,0.9282065794155363,0.0717934205844637,0.023545368139075318,0.023545368139075318
45-54,215,0.8858117185631943,0.11418828143680577,0.030875305498595077,0.030875305498595084
55-64,293,0.8482586355439488,0.1517413644560513,0.029781763344404598,0.0297817633444046
65 and over,287,0.7555355905321487,0.24446440946785128,0.03191380970377159,0.03191380970377159
